City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,laramie,41.3114,-105.5911,-0.58,55,0,7.52,US,1678584073
301,orotukan,62.2667,151.7,-10.98,65,100,2.08,RU,1678584149
302,batemans bay,-35.7167,150.1833,21.17,73,91,2.69,AU,1678584149
303,gombe,10.2897,11.1673,26.06,10,99,5.22,NG,1678584150
304,vallenar,-28.5708,-70.7581,19.8,67,0,1.5,CL,1678583964
305,bafra,41.5678,35.9069,18.23,50,95,6.67,TR,1678584151
306,bengkulu,-3.8004,102.2655,24.42,83,58,1.25,ID,1678584151
307,amapa,1.0,-52.0,22.53,99,100,1.74,BR,1678584152
308,maldonado,-34.6667,-54.9167,26.79,70,0,4.43,UY,1678584152
309,rena,61.1348,11.3641,-15.94,93,53,1.67,NO,1678584153
310,iquitos,-3.7481,-73.2472,24.02,88,75,2.06,PE,1678584153
311,vaitape,-16.5167,-151.75,27.43,80,100,7.52,PF,1678584153
312,yarega,63.4354,53.5765,-13.59,98,100,2.17,RU,1678584154
313,esperance,-33.8667,121.9,19.89,66,100,4.62,AU,1678584154
314,ilhabela,-23.7781,-45.3581,24.37,88,100,0.77,BR,1678584155
315,belluru,12.9911,76.7444,17.26,74,0,2.01,IN,1678584155
316,mogadishu,2.0371,45.3438,26.18,88,88,7.06,SO,1678584156
317,kashi,39.4547,75.9797,8.56,31,17,4.0,CN,1678584156
318,khatanga,71.9667,102.5,-22.29,93,100,5.02,RU,1678584157
319,codrington,-38.2667,141.9667,17.17,71,84,5.34,AU,1678584157
320,lardos,36.0942,28.0157,17.19,84,100,4.02,GR,1678584158
321,ransang,8.9603,117.5828,27.1,69,85,3.76,PH,1678584158
322,landau,49.2075,8.1133,0.92,78,95,0.87,DE,1678584159
323,constitucion,-35.3333,-72.4167,14.1,93,29,1.31,CL,1678584018
324,tabou,4.423,-7.3528,25.67,90,100,1.72,CI,1678584159
325,rakaia,-43.75,172.0167,24.05,36,0,1.93,NZ,1678584160
326,urucara,-2.5364,-57.76,23.69,96,100,0.73,BR,1678584160
327,buin,-33.7333,-70.75,23.4,69,0,1.68,CL,1678583904
328,victoria,22.2855,114.1577,23.3,86,33,0.45,HK,1678584161
329,bouna,9.2667,-3.0,28.96,42,100,3.22,CI,1678584161
330,marsa matruh,31.3525,27.2453,16.98,74,100,3.88,EG,1678584161
